text,year
"In North Carolina, Mr. McCrory won largely on the support of a majority of men and a majority of women, as well as strong support among voters over 30, conservatives, Republicans and independents, and white evangelicals, according to preliminary results of an exit poll conducted by Edison Research.",2012
"Instead, the focus on Mr. Romney's personal fortune is part of a broader plan, they say, to disqualify Mr. Romney's economic credentials in the eyes of voters.",2012
"As investors have poured money into the skyrocketing art market, financial consultants and tax experts have said that many wealthy individuals are looking to convert their personal collections into private foundations or museums as a way of reducing their tax bills.",2015
"In a November 1998 plea agreement, Ronald Lattanzio, the building consultant at the center of the corruption investigation, said Mr. Ognibene tried to help him secure jobs and favorable decisions at the Buildings Department in exchange for tickets, vacations and campaign contributions.",2001
"""While we preserved, maintained and released all public records according to the public records laws, I will make every effort to reassure the public of this fact because of the historical importance these records hold.""",2001
"Acting on the advice of her doctors, Mrs. Clinton will not go to the State Department this week but will work from home, the State Department said.",2012
"Still, Mr. Powell is described by close aides as feeling as strongly as ever that an attack on Iraq without the support of France, Russia, China and other nations would pose a dangerous risk of igniting opposition and perhaps turmoil in the Arab world.",2003
"Trump called impeachment a 'new hoax,' as aides insisted he isn't watching.",2019
"The controversy over the F.B.I. informant is one skirmish in a searing political battle that was renewed on Thursday during a contentious hearing convened by the House Judiciary and Oversight Committees that heard testimony from Peter Strzok, an F.B.I. agent who once ran the bureau's investigation into the Trump campaign.",2018
Mr. Trump fired off several tweets about the impeachment hearing as it got underway Wednesday even as his press secretary said Mr. Trump was not watching the drama play out on Capitol Hill.,2019
"But there is no evidence yet, other than chatter on Web sites, that athletes or young people are turning to DHEA as a replacement for traditional steroids and precursors, despite the fears of some medical experts that the trend will begin now that the law banning other substances has taken effect.",2005
"While candidates in recent special elections in Kansas and Georgia have played down connections to Mr. Trump, Mr. Gianforte has hewed particularly close to the president's narrative: He promotes his outsider status (he has never held office) and his business acumen (his software empire, RightNow Technologies, started in a basement), and takes aim at sanctuary states and ""the liberal elite"" whenever he can.",2017
"Blacks running after 1996, however, performed about 3 percentage points better than their polls predicted.",2008
"""The senior management of the bank was appointed by him, and we ratified his decisions because it was always understood that when this began in 1989, this was his bank to run and his bank to supervise.""",2001
"Democrats say that repealing the law will cause chaos and catastrophe, jeopardizing coverage for people who use HealthCare.gov and millions more who have been able to enroll in Medicaid.",2016
"But the administration has dragged its feet in proposing its own version, working with Congress on a joint version or sending officials to participate in essential congressional hearings.",2014
"Strategists say that fund-raising will be an obstacle for Mr. Graham but that if his candidacy gains traction he could benefit from South Carolina's status as a the second state to hold a primary. """,2015
"In 2013, he worked with a bipartisan group of senators on legislation that would have created a path to citizenship for millions of immigrants.",2015
"Stereo headsets that work for phone calls and music appeal to younger customers, Mr. Baker said, whereas the Jabra BT4010 has a display showing the headset's battery level -- a feature that business travelers who make long calls appreciate.",2008
"The suicide blast killed eight people and wounded at least 40, including several children, according to officials.",2007
"But the market volatility and perceived Democratic edge on handling the economy has evidently turned voters to Democrats, a view supported by one top adviser to Republican candidates.",2008
"""Rumsfeld can only reform things so long before it gets pointed out that they underestimated what was necessary.",2003
"A front-page article in The Washington Post on Tuesday, citing unnamed senators and aides, said Judge Roberts was unlikely to face a major fight.",2005
"Rebecca Katz, a progressive political consultant based in New York who is not working for a 2020 candidate, said she believes that women and nonwhite candidates are scrutinized more than white male politicians, yet hopes that Ms. Harris will embrace bold ideas and tell more of her personal story even if it seems risky.",2019
"Mr. Cuomo's decision comes in the middle of his re-election bid, and in recent days, advocates for women's reproductive rights as well as prominent gay politicians, among them State Assemblywoman Deborah J. Glick and Christine C. Quinn, a former speaker of the New York City Council, have publicly urged him to replace Judge Graffeo.",2014
Many researchers believe that the worldwide decline in violent crime beginning in the 1990s is partly a result of lead being taken out of gasoline in the late 1970s.,2016
"The Justice Department, the Federal Bureau of Investigation and other law enforcement agencies have said that the Internet telephone services pose significant new difficulties in monitoring conversations of suspects.",2004
"She says that when she and the shah fled the country on the eve of the revolution, ""We were leaving on a 'trip,' disappearing for a while to allow people to come to their senses and their anger to calm down.",2004
"Yet, as he emerged from a meeting with leaders of the Senate Appropriations Committee, Mr. Cuomo, who was making his first official trip to Washington as governor, described himself as optimistic.",2012
"A8 Beliefs A15   NEW YORK/REGION B1-7 Seeking to Avoid Runoff,Sharpton to Endorse Ferrer Al Sharpton has decided to endorse Fernando Ferrer for New York City mayor, in the hope of pushing him over the top in Tuesday's Democratic primary, according to associates of Mr. Sharpton.",2005
But the outlook for November remains hard to discern for several reasons.,2010
"The plaintiffs asked the court to order the commission to respond within seven days, and Mr. Simon said they hoped for some action in the next three weeks.",2001
"""Preval doesn't have to say Lavalas; people know him as Lavalas,"" said a political observer who asked not to be identified because he is working for another candidate.",2005
"Some students on Harvard's campus said they were pleased with the decision, although they said they were apprehensive about what would happen if the case made it to the Supreme Court. """,2019
